BFieldX,BFieldY,BFieldZ
-0.287,-0.293,-0.059
-0.24,-0.328,-0.068
-0.224,-0.284,-0.068
-0.25,-0.276,-0.067
-0.235,-0.27,-0.082
-0.223,-0.283,-0.072
-0.212,-0.304,-0.071
-0.237,-0.284,-0.048
-0.246,-0.309,-0.062
-0.246,-0.311,-0.045
-0.27,-0.276,-0.063
-0.248,-0.272,-0.062
-0.237,-0.279,-0.067
-0.28,-0.267,-0.071
-0.235,-0.277,-0.076
-0.268,-0.335,-0.05
-0.241,-0.249,-0.071
-0.257,-0.266,-0.063
-0.277,-0.283,-0.052
-0.279,-0.302,-0.073
-0.259,-0.263,-0.06
-0.226,-0.277,-0.045
-0.222,-0.283,-0.051
-0.244,-0.294,-0.059
-0.251,-0.273,-0.038
-0.191,-0.276,-0.046
-0.272,-0.265,-0.05
-0.261,-0.307,-0.062
-0.259,-0.301,-0.067
-0.267,-0.278,-0.045
-0.255,-0.306,-0.078
-0.237,-0.306,-0.073
-0.265,-0.315,-0.039
-0.215,-0.294,-0.049
-0.28,-0.283,-0.041
-0.243,-0.282,-0.056
-0.26,-0.277,-0.051
-0.222,-0.288,-0.046
-0.254,-0.279,-0.061
-0.278,-0.289,-0.052
-0.226,-0.295,-0.061
-0.28,-0.291,-0.055
-0.248,-0.274,-0.071
-0.256,-0.291,-0.068
-0.263,-0.3,-0.051
-0.283,-0.259,-0.065
-0.271,-0.287,-0.072
-0.252,-0.259,-0.074
-0.267,-0.302,-0.06
-0.251,-0.295,-0.093
-0.26,-0.313,-0.09
-0.26,-0.283,-0.083
-0.266,-0.289,-0.091
-0.25,-0.267,-0.122
-0.233,-0.285,-0.112
-0.282,-0.277,-0.137
-0.249,-0.273,-0.138
-0.24,-0.282,-0.165
-0.245,-0.277,-0.152
-0.235,-0.244,-0.161
-0.19,-0.293,-0.171
-0.221,-0.285,-0.179
-0.213,-0.302,-0.183
-0.22,-0.266,-0.202
-0.204,-0.263,-0.199
-0.21,-0.289,-0.183
-0.188,-0.254,-0.185
-0.184,-0.235,-0.193
-0.171,-0.274,-0.179
-0.132,-0.248,-0.177
-0.172,-0.24,-0.166
-0.189,-0.268,-0.163
-0.19,-0.237,-0.149
-0.157,-0.254,-0.155
-0.185,-0.233,-0.14
-0.182,-0.238,-0.156
-0.205,-0.241,-0.156
-0.196,-0.254,-0.133
-0.212,-0.239,-0.146
-0.206,-0.27,-0.112
-0.235,-0.282,-0.121
-0.222,-0.277,-0.122
-0.19,-0.265,-0.116
-0.168,-0.301,-0.113
-0.209,-0.293,-0.089
-0.188,-0.255,-0.11
-0.204,-0.262,-0.113
-0.188,-0.241,-0.096
-0.204,-0.256,-0.088
-0.183,-0.265,-0.095
-0.185,-0.285,-0.085
-0.213,-0.284,-0.088
-0.183,-0.339,-0.085
-0.191,-0.345,-0.094
-0.229,-0.344,-0.082
-0.206,-0.349,-0.085
-0.19,-0.387,-0.096
-0.21,-0.441,-0.083
-0.195,-0.395,-0.08
-0.224,-0.407,-0.08
-0.201,-0.411,-0.073
-0.223,-0.429,-0.074
-0.212,-0.423,-0.087
-0.195,-0.47,-0.051
-0.215,-0.468,-0.05
-0.237,-0.505,-0.065
-0.226,-0.471,-0.066
-0.271,-0.474,-0.06
-0.196,-0.478,-0.061
-0.226,-0.463,-0.084
-0.229,-0.455,-0.057
-0.282,-0.47,-0.074
-0.272,-0.465,-0.088
-0.238,-0.473,-0.099
-0.233,-0.496,-0.085
-0.25,-0.473,-0.09
-0.248,-0.479,-0.077
-0.221,-0.466,-0.072
-0.224,-0.455,-0.087
-0.233,-0.473,-0.074
-0.212,-0.473,-0.082
-0.19,-0.449,-0.076
-0.244,-0.45,-0.087
-0.204,-0.399,-0.09
-0.217,-0.427,-0.096
-0.194,-0.405,-0.08
-0.202,-0.382,-0.095
-0.176,-0.324,-0.079
-0.167,-0.316,-0.077
-0.173,-0.307,-0.07
-0.16,-0.324,-0.07
-0.171,-0.276,-0.071
-0.204,-0.261,-0.091
-0.184,-0.246,-0.07
-0.174,-0.249,-0.076
-0.168,-0.232,-0.079
-0.172,-0.226,-0.082
-0.18,-0.211,-0.065
-0.14,-0.167,-0.071
-0.18,-0.174,-0.057
-0.146,-0.172,-0.055
-0.184,-0.17,-0.062
-0.162,-0.174,-0.059
-0.141,-0.141,-0.059
-0.205,-0.162,-0.035
-0.165,-0.124,-0.029
-0.122,-0.104,-0.034
-0.171,-0.062,-0.024
-0.152,-0.057,-0.034
-0.095,-0.041,-0.021
-0.152,-0.056,-0.021
-0.152,-0.052,0.306
-0.141,-0.066,-0.027
-0.113,-0.017,0.016
-0.115,0,0.026
-0.09,0.018,0.012
-0.101,0.023,0.009
-0.13,-0.024,0.029
-0.132,0.004,0.021
-0.109,-0.01,-0.009
-0.148,0.018,0.005
-0.091,-0.002,-0.004
-0.101,0.015,-0.005
-0.118,-0.004,0.017
-0.104,0.018,0.026
-0.107,0.001,-0.001
-0.137,0.037,0.011
-0.133,-0.009,0.001
-0.133,0.017,-0.001
-0.11,0.013,0.018
-0.073,-0.026,0.032
-0.128,-0.049,-0.007
-0.088,-0.06,0
-0.122,-0.06,-0.011
-0.123,-0.033,0.01
-0.13,-0.09,-0.026
-0.095,-0.109,-0.027
-0.087,-0.06,-0.039
-0.089,-0.106,-0.056
-0.065,-0.126,-0.033
-0.062,-0.159,-0.049
-0.071,-0.159,-0.048
-0.1,-0.148,-0.078
-0.048,-0.168,-0.099
-0.104,-0.146,-0.095
-0.12,-0.216,-0.1
-0.082,-0.217,-0.113
-0.076,-0.166,-0.096
-0.084,-0.152,-0.126
-0.121,-0.206,-0.111
-0.101,-0.202,-0.1
-0.098,-0.224,-0.11
-0.14,-0.189,-0.129
-0.123,-0.189,-0.117
-0.084,-0.205,-0.13
-0.104,-0.217,-0.127
-0.123,-0.184,-0.154
-0.111,-0.171,-0.148
-0.127,-0.194,-0.152
-0.144,-0.196,-0.16
-0.089,-0.168,-0.177
-0.126,-0.168,-0.172
-0.179,-0.194,-0.172
-0.089,-0.195,-0.172
-0.146,-0.167,-0.174
-0.127,-0.167,-0.168
-0.16,-0.174,-0.177
-0.156,-0.18,-0.174
-0.184,-0.17,-0.154
-0.152,-0.135,-0.173
-0.145,-0.195,-0.156
-0.223,-0.161,-0.165
-0.195,-0.195,-0.146
-0.204,-0.17,-0.156
-0.248,-0.178,-0.137
-0.229,-0.201,-0.132
-0.261,-0.195,-0.12
-0.237,-0.202,-0.115
-0.282,-0.233,-0.109
-0.285,-0.229,-0.094
-0.257,-0.251,-0.109
-0.271,-0.216,-0.084
-0.278,-0.265,-0.085
-0.28,-0.272,-0.083
-0.294,-0.221,-0.094
-0.243,-0.267,-0.062
-0.252,-0.235,-0.049
-0.272,-0.263,-0.043
-0.251,-0.246,-0.013
-0.28,-0.277,-0.041
-0.251,-0.256,-0.056
-0.25,-0.26,-0.038
-0.267,-0.249,-0.032
-0.262,-0.291,-0.026
-0.245,-0.279,-0.03
-0.277,-0.273,-0.024
-0.218,-0.29,-0.035
-0.257,-0.256,-0.029
-0.296,-0.251,-0.012
-0.246,-0.257,0.006
-0.256,-0.249,-0.013
-0.257,-0.249,-0.01
-0.23,-0.255,0.002
-0.257,-0.215,-0.305
-0.243,-0.299,0.002
-0.287,-0.266,0.002
-0.26,-0.23,-0.009
-0.256,-0.245,0.018
-0.227,-0.248,-0.302
-0.256,-0.262,0.021
-0.28,-0.241,0.013
-0.251,-0.287,0.005
-0.263,-0.277,0.007
-0.228,-0.302,-0.001
-0.245,-0.278,0.015
-0.265,-0.255,0.017
-0.306,-0.313,-0.002
-0.246,-0.272,-0.006
-0.285,-0.255,0.017
-0.254,-0.288,0.002
-0.273,-0.23,-0.002
-0.251,-0.255,0.027
-0.256,-0.24,0.011
-0.228,-0.229,0.01
-0.248,-0.239,0.012
-0.284,-0.267,0.012
-0.257,-0.313,0.015
-0.251,-0.293,0.002
-0.259,-0.252,0.007
-0.227,-0.245,0.009
-0.245,-0.24,0.005
-0.249,-0.228,0.011
-0.28,-0.279,0.007
-0.217,-0.238,0.018
-0.206,-0.256,0.02
-0.251,-0.27,0.021
-0.256,-0.255,0.002
-0.259,-0.263,0.011
-0.257,-0.239,0
-0.276,-0.259,0.021
-0.189,-0.244,0.011
-0.285,-0.259,-0.004
-0.243,-0.302,0.016
-0.289,-0.23,0.015
-0.27,-0.282,0.024
-0.246,-0.291,0.015
-0.27,-0.245,0.01
-0.266,-0.288,0.012
-0.306,-0.255,0.021
-0.255,-0.262,-0.005
-0.302,-0.261,-0.001
-0.251,-0.261,-0.005
-0.244,-0.28,0.012
-0.276,-0.273,0.022
-0.274,-0.25,0.002
-0.277,-0.272,0.006
-0.244,-0.237,0.011
-0.261,-0.256,0.02
-0.27,-0.277,0.024
-0.237,-0.256,-0.002
-0.25,-0.232,0.01
-0.28,-0.295,0.01
-0.226,-0.29,0.018
-0.25,-0.249,0.016
-0.282,-0.213,0.005
-0.285,-0.26,-0.01
-0.23,-0.272,0.01
-0.239,-0.229,0.001
-0.255,-0.24,0.021
-0.245,-0.271,0.009
-0.254,-0.251,0.021
-0.235,-0.262,0.011
-0.241,-0.249,0.002
-0.243,-0.246,0.012
-0.265,-0.29,0.01
-0.271,-0.296,0
-0.26,-0.246,0.01
-0.248,-0.221,0.027
-0.279,-0.271,-0.001
-0.254,-0.27,0.013
-0.25,-0.257,0.006
-0.237,-0.277,0.02
-0.255,-0.259,0.021
-0.262,-0.267,0.007
-0.255,-0.299,0.011
-0.274,-0.245,0.007
-0.239,-0.287,0.307
-0.274,-0.288,0.01
-0.241,-0.239,-0.007
-0.252,-0.249,0.01
